,x,y,z,c
70,-5959815.375784443,-280.3208468657941,-214.75246424175123,0
71,-3337136.824280668,-302.93078609524264,608.0217761044066,0
72,-5805473.247462376,-247.64695444553854,-76.00864090001456,0
73,-5589392.145054896,-272.71299060998894,-63.89242200314629,0
74,-4967521.381230379,82.25038495370856,-202.39426295970782,0
75,-5918067.284990526,-220.1091720427893,-145.13883348451753,0
76,-5302874.941522754,-244.1313571989602,100.05840292401595,0
77,-4077386.654667641,257.3053479247599,336.75821947059086,0
78,-5871352.283956969,-244.5027928631905,6.959921403778454,0
79,-5822684.222654898,-215.03766638434578,165.8736302537135,0
80,-5950490.342390763,-254.57576852159318,-125.32615347722151,0
81,-3571228.6803012122,-43.190725600933796,637.9996581349669,0
82,-3138189.50515202,-122.44623465928984,-196.5491264547046,0
83,-5550695.986994194,-150.04864618554416,-203.34975525822253,0
84,-5446455.024367338,-240.71500369429143,160.47021773344653,0
85,-5788359.14269341,-160.78867777995336,269.08652472975854,0
86,-5902270.284630618,-228.43754941653012,-155.0346927136976,0
87,-5321243.810310359,-114.13072316727335,213.69468964509738,0
88,-2484029.87299296,94.97614195571155,-197.9797596856077,0
89,-5482130.910082963,-116.7119690490448,291.3225888474648,0
90,-5292288.765985603,-89.79255482806505,108.73932845375,0
91,-2403125.9119189684,15.203365027177833,-194.0014020116211,0
92,-5835106.284418562,-265.10349916801044,-160.68196481304312,0
93,10282986.103417575,363.30783279770395,-163.94188375885173,0
94,-5954354.357490137,-266.2967311631608,-168.01511866132128,0
95,-4856145.646381509,-219.48673166971446,413.8234387205438,0
96,-5879187.305148049,-259.7805234316041,-110.39242178172124,0
97,-5474758.846402095,-62.10522028099809,593.4747928708329,0
98,-5922686.340449178,-269.0845539161262,-255.64355378947022,0
99,-5662496.900911381,-9.048911757935539,485.30414278017923,0
100,-5924799.349070223,-274.76179965248315,-105.42720868178107,0
101,-5153420.341842527,220.1586080673786,-202.16485334856677,0
102,-5839665.193043853,-179.17504949656816,-83.6479240479248,0
103,-3535807.559929951,45.71271566852572,-198.4936747863315,0
104,2089536.5376173996,-216.00878518811595,-181.22059700084782,0
105,-3145603.473630073,-88.8033850303813,388.61261201092276,0
106,-5959321.370240445,-275.8982215309298,-242.12774976371875,0
107,-4471474.053004892,110.51120325670583,450.04827177409436,0
108,-3130708.4031149503,-33.62463206045348,-197.3196028318643,0
109,-5920426.3236427875,-253.7015979904874,37.86968784515061,0
110,-1922946.585396211,50.75216747052535,656.108218428122,0
111,-5727423.187641756,-235.47952617227648,115.44480649992279,0
112,-5211185.777871526,-144.9003208879147,315.07140826201305,0
113,-5946303.359119252,-272.15248279509365,-141.1142987286286,0
114,-5952805.359546747,-269.0042629349706,-158.9733492196213,0
115,-5961666.365153161,-269.27320936102046,-172.87397423824436,0
116,-4738575.509514894,-159.36696731309974,307.34434811154057,0
117,-5388386.876294698,-137.46116300007822,182.81048998922464,0
118,-5934011.359290296,-279.64579822743315,-220.82832686249176,0
119,-5922462.35202067,-279.25924789498595,-223.12068406090037,0
120,39301434.27427582,-2634.5726731041304,-72.59223177121969,2
121,-5920178.353372599,-281.77458667290426,-223.51738422563915,0
122,3848518.585653631,-225.49790847112442,-174.64483030948566,0
123,-5913839.344605887,-276.7536846366893,-145.01316423117913,0
124,-5951714.378273366,-287.2135089116485,-216.82852590002838,0
125,-5953056.363723702,-272.71072006299926,-175.86292297275855,0
126,-5458336.914113635,-133.02770922109428,520.3038211504476,0
127,1533968.210774243,702.3762838612781,-185.91603322830227,0
128,-5883204.300571141,-253.38232796084588,-109.38223903117725,0
129,-5805302.244692758,-244.95126617876866,7.186330324752657,0
130,-4800507.196514234,159.03816571491006,-202.81549824990327,0
131,-5867177.194175379,-164.38317081575775,333.18910783107935,0
132,-5942469.331859304,-249.37500816021236,-122.27229565834719,0
133,-5896216.261993969,-211.09525664049016,-135.34853519498245,0
134,8255550.230770004,-231.6988376431081,-164.94766326918736,0
135,-4781535.323106089,33.89185003051663,155.91538985019147,0
136,-5853983.216311734,-192.49125838629118,-59.88443910240783,0
137,-5806490.118683435,-129.57716793010388,-55.6622369360061,0
138,-5832011.236443137,-222.69644391451786,49.79280104209633,0
139,-5961558.387957914,-290.39144640737885,-215.78077603371645,0
140,-5624172.94371497,-69.7383541650965,96.59714323102881,0
141,-5778852.227432575,-243.8869454792566,-62.46558413766088,0
142,-5864624.316263776,-277.79947302274155,-81.26731550901916,0
143,-5948553.362597524,-274.6486166487811,-237.53925945577978,0
144,-5942041.336363295,-253.80160176331702,-163.09013290246435,0
145,-5824472.243732574,-233.8021553568978,-110.4604120707201,0
146,-5780500.229503176,-245.01003365909952,-130.36759897183504,0
147,-5907902.317399208,-255.24904932004245,-159.25492684525872,0
148,-5899789.294922521,-239.1688029380932,-140.34108503655762,0
149,-3830544.7434317106,40.03776792103905,-198.0733173876789,0
150,-5599455.038244647,-169.72883873358177,-4.678280873221176,0
151,-5923944.324192104,-252.64983037009,-156.26382852470365,0
152,-5644082.013342028,-122.69904404616557,-84.63519786124316,0
153,-5422002.850504157,-96.2186282010434,-203.1787422014736,0
154,-5499533.978666854,-169.63881368791314,298.79306835643,0
155,-5802314.197292966,-203.2811459111686,55.49717660149867,0
156,-4720660.3322713375,-8.53969227863466,-202.83369705387366,0
157,45527699.85556449,-961.5459108145983,-54.62256423832763,2
158,33205665.011001196,-1353.9473066805735,-87.12057204908581,2
159,-5792727.227261686,-235.81637206597276,73.85414959476185,0
160,-1815433.473435582,92.54898402340555,-193.16002016934505,0
161,-4826194.635285959,-226.1556992901898,215.6974350142533,0
