,ten_truyen,duong_dan,luot_xem,xep_hang,danh_gia,theo_doi,binh_luan,tap_moi
56,ĐI NGỦ CÙNG MA,https://www.nettruyenin.com/truyen-tranh/di-ngu-cung-ma-66563,43.884,3.6,78,2.487,225,Chapter 8
57,LƯỢC THIÊN KÝ,https://www.nettruyenin.com/truyen-tranh/luoc-thien-ky-63759,767.569,3.5,1059,19.397,770,Chapter 32
58,CÙNG ĂN THÔI,https://www.nettruyenin.com/truyen-tranh/cung-an-thoi-61352,591.112,3.6,772,8.515,924,Chapter 32
59,CÙNG CÔ NGƯỜI MÁY SINH TỒN TRÊN HÀNH TINH BÍ ẨN,https://www.nettruyenin.com/truyen-tranh/cung-co-nguoi-may-sinh-ton-tren-hanh-tinh-bi-an-64673,556.213,3.5,672,3.660,963,Chapter 57: (END)
60,CUỘC PHIÊU LƯU CỦA BÉ SUI,https://www.nettruyenin.com/truyen-tranh/cuoc-phieu-luu-cua-be-sui-67162,95.348,3.6,137,2.609,158,Chapter 30
61,GIGANTIS,https://www.nettruyenin.com/truyen-tranh/gigantis-470930,324.436,4.2,458,10.207,462,Chapter 12
62,TÔI DỰA VÀO BUG LÀM ÔNG NỘI NGƯỜI TA,https://www.nettruyenin.com/truyen-tranh/toi-dua-vao-bug-lam-ong-noi-nguoi-ta-389680,2.550.557,3.5,3222,32.781,1.033,Chapter 56
63,CÔNG CHÚA BỊ LÃNG QUÊN MUỐN SỐNG TRONG HÒA BÌNH,https://www.nettruyenin.com/truyen-tranh/cong-chua-bi-lang-quen-muon-song-trong-hoa-binh-451940,1.018.281,3.7,1556,26.558,429,Chapter 30
64,STREAMER PHÁP SƯ,https://www.nettruyenin.com/truyen-tranh/streamer-phap-su-576391,2.888.049,3.5,3516,51.003,2.203,Chapter 45
65,CHẾT VÌ CHÁN,https://www.nettruyenin.com/truyen-tranh/chet-vi-chan-482220,80.174,3.5,160,3.270,209,Chapter 10
66,BLUE BOX BRIEFING,https://www.nettruyenin.com/truyen-tranh/blue-box-briefing-66214,19.040,3.9,33,980,69,Chapter 5
67,P TO JK,https://www.nettruyenin.com/truyen-tranh/p-to-jk-65050,141.175,3.8,165,990,39,Chapter 27
68,GATE OF NIGHTMARES,https://www.nettruyenin.com/truyen-tranh/gate-of-nightmares-573070,65.234,4.2,164,3.179,144,Chapter 19: - Những người bạn trân quý [END]
69,IMOUTO O ANO NI TSU NO TENSHI NI MOICHIDO,https://www.nettruyenin.com/truyen-tranh/imouto-o-ano-ni-tsu-no-tenshi-ni-moichido-65939,76.431,3.7,105,2.924,131,Chapter 4
70,CUỘC PHIÊU CỦA HARLEY QUINN,https://www.nettruyenin.com/truyen-tranh/cuoc-phieu-cua-harley-quinn-67085,3.421,3.5,8,161,8,Chapter 4
71,GASH BELL!!,https://www.nettruyenin.com/truyen-tranh/gash-bell-66863,5.486,3.5,16,298,22,Chapter 1.5
72,ENDER GEISTER,https://www.nettruyenin.com/truyen-tranh/ender-geister-438140,2.628.163,3.6,2871,15.695,812,Chapter 71
73,"TÔI LÀ SÓI, NHƯNG TÔI SẼ KHÔNG LÀM HẠI EM",https://www.nettruyenin.com/truyen-tranh/toi-la-soi-nhung-toi-se-khong-lam-hai-em-67556,159.828,3.5,218,3.637,130,Chapter 50
74,CÔ DÂU PHÁP SƯ,https://www.nettruyenin.com/truyen-tranh/co-dau-phap-su-63020,375.909,4.4,430,1.975,141,Chapter 29
75,CHIẾN LƯỢC DỊ GIỚI CỦA NỮ VƯƠNG SWARM BỆ HẠ,https://www.nettruyenin.com/truyen-tranh/chien-luoc-di-gioi-cua-nu-vuong-swarm-be-ha-396860,997.779,4,1467,21.264,1.485,Chapter 31
76,TSUKI GA KIREI DESU NE,https://www.nettruyenin.com/truyen-tranh/tsuki-ga-kirei-desu-ne-119640,47.234,3.7,122,1.715,60,Chapter 15
77,"CHIKO-TAN, KOWARERU",https://www.nettruyenin.com/truyen-tranh/chiko-tan-kowareru-100990,662.426,3.9,773,6.515,306,Chapter 60
78,ÁC NỮ GIẢ NGỐC,https://www.nettruyenin.com/truyen-tranh/ac-nu-gia-ngoc-461700,1.887.913,3.8,2619,40.006,543,Chapter 37
79,POCHI GOKKO,https://www.nettruyenin.com/truyen-tranh/pochi-gokko-229590,93.949,3.5,149,3.566,213,Chapter 10
80,SÁT NHÂN CUỒNG LOẠN,https://www.nettruyenin.com/truyen-tranh/sat-nhan-cuong-loan-65980,142.617,3.5,232,6.207,373,Chapter 12
81,SINH TỒN TRONG CUỐN TIỂU THUYẾT MANHWA,https://www.nettruyenin.com/truyen-tranh/sinh-ton-trong-cuon-tieu-thuyet-manhwa-67489,14.811,3.5,52,3.091,80,Chapter 2
